PBI,Excel,Lookup,Comments,Lookup
29558815,40153398,40153398,,29558815
29563889,40154347,40154347,,29563889
29579541,29725079,29725079,,#N/A
29583390,40153038,40153038,,29583390
29584475,40153338,40153338,,29584475
29588661,29483062,29483062,,#N/A
29598529,29295885,29295885,,#N/A
29600802,29485426,29485426,,#N/A
29605130,29268344,29268344,,29605130
29616130,29734010,29734010,,#N/A
29616240,40153749,40153749,,#N/A
29617831,40153836,40153836,,29617831
29619489,29727922,29727922,,29619489
29621141,29957555,29957555,,#N/A
29623979,40150071,40150071,,#N/A
29632568,40150073,40150073,,29632568
29634580,40150076,40150076,,29634580
29634728,40145757,40145757,,29634728
29645852,29291997,29291997,,29645852
29647644,40151615,40151615,,29647644
29651661,40152581,40152581,,29651661
29679896,40152642,40152642,,29679896
29711246,40153036,40153036,,29711246
29720491,40153037,40153037,,29720491
29721293,40153826,40153826,,#N/A
29721322,40153827,40153827,,29721322
29724061,40153881,40153881,,29724061
29729753,40154736,40154736,,29729753
29734010,29801421,29801421,,29734010
29735186,29272108,29272108,,29735186
29746615,40088284,40088284,,29746615
29747756,40154177,40154177,,#N/A
29748622,40153661,40153661,,29748622
29748945,29239193,29239193,,29748945
29750188,40153013,40153013,,29750188
29752766,40152002,40152002,,29752766
29754271,29280796,29280796,,#N/A
29757609,40057705,40057705,,#N/A
29758570,29957143,29957143,,#N/A
29758986,40154696,40154696,,29758986
29780933,40154699,40154699,,29780933
29786077,29634259,29634259,,29786077
29789890,40153026,40153026,,#N/A
29794906,40153401,40153401,,#N/A
29795012,29539584,#N/A,POC not present in Comm BI,29795012
29799180,29727583,29727583,,29799180
29800849,29360797,29360797,,#N/A
29804632,29470609,29470609,,29804632
29832281,40154192,40154192,,29832281
29834228,40153952,40153952,,29834228
29956596,29260407,29260407,,29956596
29956609,40142780,40142780,,29956609
29965072,40153455,40153455,,29965072
29983400,40154201,#N/A,POC not present in Comm BI,29983400
40017763,40154000,#N/A,POC not present in Comm BI,#N/A
40022465,29326912,29326912,,40022465
40024304,40131028,40131028,,#N/A
40026263,40152419,40152419,,40026263
40026582,40153005,40153005,,40026582
40026826,40153591,40153591,,40026826
40026989,29472125,29472125,,40026989
40030625,40153412,40153412,,40030625
40053704,40154630,40154630,,40053704
40057470,40154655,40154655,,40057470
40061092,29200322,29200322,,40061092
40071171,29634700,29634700,,40071171
40075743,40153688,40153688,,40075743
40075975,40154059,40154059,,40075975
40088284,40154299,40154299,,40088284
40096299,40154322,40154322,,40096299
40097050,40023374,40023374,,40097050
40098942,29266958,29266958,,40098942
40100337,40094439,40094439,,#N/A
40106798,40154573,40154573,,40106798
40107187,29282227,29282227,,#N/A
40107353,29283784,29283784,,#N/A
40107667,29231598,29231598,,#N/A
40115824,29240516,29240516,,40115824
40121442,29744264,29744264,,40121442
40122601,29240957,29240957,,40122601
40122662,29254359,29254359,,40122662
40124500,29750188,29750188,,40124500
40124739,40126325,40126325,,#N/A
40126325,40129917,40129917,,40126325
40126931,29447955,29447955,,40126931
40129917,29290839,29290839,,40129917
40131169,29225076,29225076,,#N/A
40134299,29243222,29243222,,40134299
40134847,40034342,#N/A,POC not present in Comm BI,40134847
